Issue key,Issue id,Issue Type,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date,Labels,Custom field (Resolution.)
OSSSUP-88149,1994654,Other,Scratch installation of Netact lab -slab609 to NA19 SP2005,k1n,anithaa,Minor,Resolved,Resolved,8.5.2020 20:19,13.5.2020 2:04,,VP(VerificationPipeline),
OSSSUP-88148,1994651,Other,Scratch installation of Netact lab -slab610 to NA19 SP2005,k1n,anithaa,Minor,Open,,8.5.2020 20:16,14.5.2020 18:52,,,
OSSSUP-88147,1994549,Scratch installation,[Sprintlab546] scratch installation,k1n,gabryels,Critical,Resolved,Resolved,8.5.2020 17:55,13.5.2020 16:08,,VP(VerificationPipeline),
OSSSUP-88146,1994416,Integration request,Node Manager node clab2047 need installed and hang on clab737,junlili,fancli,Minor,Closed,Fixed,8.5.2020 16:46,9.5.2020 10:41,,,
OSSSUP-88145,1994409,Configuration changes,[clab2098] PDL Validation Service,aprzybyl,tlisowsk,Major,Resolved,Fixed,8.5.2020 16:40,13.5.2020 17:26,,,
OSSSUP-88144,1994305,Question,cm/configurator/22.0.0.1695 Upgrade Failed for CLAB3287,w2yu,kkurian,Minor,Closed,Fixed,8.5.2020 15:39,9.5.2020 8:30,,,
OSSSUP-88143,1994247,Scratch installation,Please help to install CLAB2089 with N19 SP2005 QL4 build netact19_sp_stabi/product/19.0.17.14,junlili,j47wang,Minor,Closed,Fixed,8.5.2020 15:04,9.5.2020 10:44,,,
OSSSUP-88142,1993818,Scratch installation,Scratch install entity lab CLAB1141 to build 'netact/product/99.20.05.0.83',x30zhang,x30zhang,Minor,Closed,Fixed,8.5.2020 9:48,8.5.2020 17:05,,,
OSSSUP-88141,1993816,Unplanned SW upgrade,Install and upgrade entity lab CLAB2617 to SP2006 build 'netact19_sp/product/19.0.99.1473',x30zhang,x30zhang,Minor,Closed,Won't Fix,8.5.2020 9:47,9.5.2020 11:08,,,
OSSSUP-88140,1993776,Scratch installation,scratch install latest trunk QL4,junlili,jargao,Minor,Closed,Fixed,8.5.2020 9:19,13.5.2020 13:12,,,
